operand_a,operand_b,operation_name,result,timestamp
6.0,10.0,add,16.0,2025-06-30T07:04:04.612769
10.123,5.456,add,15.58,2025-06-30T07:29:27.071209
10.0,5.0,add,15.0,2025-06-30T07:29:27.077473
20.0,5.0,subtract,15.0,2025-06-30T07:29:27.078660
10.123,5.456,add,15.579,2025-06-30T07:33:04.129680
10.0,5.0,add,15.0,2025-06-30T07:33:04.134752
20.0,5.0,subtract,15.0,2025-06-30T07:33:04.135315
10.123,5.456,add,15.579,2025-06-30T07:33:35.992098
10.0,5.0,add,15.0,2025-06-30T07:33:35.997419
20.0,5.0,subtract,15.0,2025-06-30T07:33:35.997929
10.123,5.456,add,15.579,2025-06-30T07:34:07.956809
10.0,5.0,add,15.0,2025-06-30T07:34:07.961718
20.0,5.0,subtract,15.0,2025-06-30T07:34:07.962261
